trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,lr-AdamW/pg3,_timestamp,epoch,train/loss_step,val/age_loss,val/medae,val/recon_loss,val/loss,val/mae,val/r2,train/recon_loss,train/age_loss,train/loss_epoch,train/mae,train/r2,train/medae,test/mae,test/loss,test/r2,test/recon_loss,test/medae,test/age_loss
179,94,0.0,3.58e-05,3.58e-05,574.225158462,0.0,1778750491.2091835,,,,,,,,,,,,,,,,,,,,
179,95,,,,574.895668053,,1778750491.8796964,3.0,0.020561333745718002,,,,,,,,,,,,,,,,,,
189,96,0.0,3.7800000000000004e-05,3.7800000000000004e-05,599.01334717,0.0,1778750515.9973161,,,,,,,,,,,,,,,,,,,,
189,97,0.0,3.7800000000000004e-05,3.7800000000000004e-05,599.683664622,0.0,1778750516.6676595,,,,,,,,,,,,,,,,,,,,
189,98,0.0,3.7800000000000004e-05,3.7800000000000004e-05,600.353636266,0.0,1778750517.3376348,,,,,,,,,,,,,,,,,,,,
189,99,0.0,3.7800000000000004e-05,3.7800000000000004e-05,601.02398845,0.0,1778750518.0080163,,,,,,,,,,,,,,,,,,,,
189,100,,,,601.694856999,,1778750518.6788194,3.0,0.015641897916793823,,,,,,,,,,,,,,,,,,
199,101,0.0,3.9800000000000005e-05,3.9800000000000005e-05,625.809899518,0.0,1778750542.793844,,,,,,,,,,,,,,,,,,,,
199,102,0.0,3.9800000000000005e-05,3.9800000000000005e-05,626.480066033,0.0,1778750543.4640489,,,,,,,,,,,,,,,,,,,,
199,103,0.0,3.9800000000000005e-05,3.9800000000000005e-05,627.149848412,0.0,1778750544.1339045,,,,,,,,,,,,,,,,,,,,
199,104,0.0,3.9800000000000005e-05,3.9800000000000005e-05,627.820157271,0.0,1778750544.804156,,,,,,,,,,,,,,,,,,,,
199,105,,,,628.490732438,,1778750545.474755,3.0,0.03599286079406738,,,,,,,,,,,,,,,,,,
209,106,0.0,4.18e-05,4.18e-05,652.607932772,0.0,1778750569.592104,,,,,,,,,,,,,,,,,,,,
209,107,0.0,4.18e-05,4.18e-05,653.278466306,0.0,1778750570.2624216,,,,,,,,,,,,,,,,,,,,
209,108,0.0,4.18e-05,4.18e-05,653.948587612,0.0,1778750570.932586,,,,,,,,,,,,,,,,,,,,
209,109,0.0,4.18e-05,4.18e-05,654.618870431,0.0,1778750571.602864,,,,,,,,,,,,,,,,,,,,
209,110,,,,655.289703966,,1778750572.2737105,3.0,0.04470980912446976,,,,,,,,,,,,,,,,,,
219,111,0.0,4.38e-05,4.38e-05,679.410630105,0.0,1778750596.394621,,,,,,,,,,,,,,,,,,,,
219,112,0.0,4.38e-05,4.38e-05,680.081147424,0.0,1778750597.0651233,,,,,,,,,,,,,,,,,,,,
219,113,0.0,4.38e-05,4.38e-05,680.751570923,0.0,1778750597.7355797,,,,,,,,,,,,,,,,,,,,
219,114,0.0,4.38e-05,4.38e-05,681.422046079,0.0,1778750598.4060407,,,,,,,,,,,,,,,,,,,,
219,115,,,,682.093016729,,1778750599.0769982,3.0,0.032811637967824936,,,,,,,,,,,,,,,,,,
227,116,,,,727.383251295,,1778750644.3673434,3.0,,0.030783310532569885,4.301998138427734,0.0,0.030783310532569885,6.377398490905762,0.8866122961044312,,,,,,,,,,,,
227,117,,,,727.586851798,,1778750644.5708086,3.0,,,,,,,,0.0,0.025363178923726082,0.025363178923726082,5.5358476638793945,0.915836751461029,3.9375,,,,,,
229,118,0.0,4.58e-05,4.58e-05,730.584304887,0.0,1778750647.5680983,,,,,,,,,,,,,,,,,,,,
229,119,0.0,4.58e-05,4.58e-05,731.254892721,0.0,1778750648.2388642,,,,,,,,,,,,,,,,,,,,
229,120,0.0,4.58e-05,4.58e-05,731.925405181,0.0,1778750648.9093492,,,,,,,,,,,,,,,,,,,,
229,121,0.0,4.58e-05,4.58e-05,732.595560766,0.0,1778750649.579745,,,,,,,,,,,,,,,,,,,,
229,122,,,,733.266143812,,1778750650.2501206,4.0,0.016021985560655594,,,,,,,,,,,,,,,,,,
239,123,0.0,4.78e-05,4.78e-05,757.386606454,0.0,1778750674.370547,,,,,,,,,,,,,,,,,,,,
239,124,0.0,4.78e-05,4.78e-05,758.056748318,0.0,1778750675.0407333,,,,,,,,,,,,,,,,,,,,
239,125,0.0,4.78e-05,4.78e-05,758.727231884,0.0,1778750675.7112336,,,,,,,,,,,,,,,,,,,,
