lr-AdamW/pg3,_timestamp,trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,epoch,train/loss_step,val/mae_epoch,val/loss,val/mae,val/r2,train/loss_epoch,train/mae,test/r2,test/mae_epoch,test/mae
,1770719246.605567,601,193,,,,143.889847201,6.0,,,,,,0.19043581187725067,8.268885612487793,,,
4.995047450065613e-05,1770719248.8656332,609,194,4.995047450065613e-05,0.0004995047450065613,0.0004995047450065613,146.149748431,,,,,,,,,,,
4.995047450065613e-05,1770719249.0249565,609,195,4.995047450065613e-05,0.0004995047450065613,0.0004995047450065613,146.312064089,,,,,,,,,,,
,1770719249.1699855,609,196,,,,146.454044478,7.0,0.16391362249851227,,,,,,,,,
4.994850903749466e-05,1770719252.0629015,619,197,4.994850903749466e-05,0.0004994850903749466,0.0004994850903749466,149.35013147,,,,,,,,,,,
4.994850903749466e-05,1770719252.2226448,619,198,4.994850903749466e-05,0.0004994850903749466,0.0004994850903749466,149.509128213,,,,,,,,,,,
,1770719252.3672779,619,199,,,,149.651347221,7.0,0.23365013301372528,,,,,,,,,
4.994650632143021e-05,1770719255.2597299,629,200,4.994650632143021e-05,0.0004994650632143021,0.0004994650632143021,152.546084147,,,,,,,,,,,
4.994650632143021e-05,1770719255.4195611,629,201,4.994650632143021e-05,0.0004994650632143021,0.0004994650632143021,152.706055778,,,,,,,,,,,
,1770719255.5656428,629,202,,,,152.849692438,7.0,0.3477180004119873,,,,,,,,,
4.994446635246277e-05,1770719258.4593163,639,203,4.994446635246277e-05,0.0004994446635246277,0.0004994446635246277,155.743520813,,,,,,,,,,,
4.994446635246277e-05,1770719258.6184328,639,204,4.994446635246277e-05,0.0004994446635246277,0.0004994446635246277,155.902476594,,,,,,,,,,,
,1770719258.762696,639,205,,,,156.046663983,7.0,0.13951686024665833,,,,,,,,,
4.994238764047623e-05,1770719261.6410575,649,206,4.994238764047623e-05,0.0004994238764047623,0.0004994238764047623,158.92523832,,,,,,,,,,,
4.994238764047623e-05,1770719261.8001842,649,207,4.994238764047623e-05,0.0004994238764047623,0.0004994238764047623,159.087114436,,,,,,,,,,,
,1770719261.9444041,649,208,,,,159.228412937,7.0,0.10851728916168213,,,,,,,,,
4.994027018547058e-05,1770719264.823921,659,209,4.994027018547058e-05,0.0004994027018547058,0.0004994027018547058,162.108127215,,,,,,,,,,,
