split,label_age,model_mse,b1_mse,b3_mse,b4_mse
unknown,4.166666507720947,0.005029631,0.110172875,0.0052767983,0.032536115
unknown,6.833333492279053,0.0044055847,0.111942545,0.0044055847,0.03149174
unknown,6.166666507720947,0.004802765,0.109543696,0.004949473,0.030991755
unknown,13.25,0.004386609,0.10951351,0.005039592,0.024009455
unknown,11.666666984558105,0.004003619,0.10899063,0.005309394,0.02533551
unknown,15.416666984558105,0.0039962116,0.10715458,0.0042716227,0.018243654
unknown,20.08333396911621,0.0040386515,0.10728528,0.0039621294,0.02500389
unknown,17.08333396911621,0.0040708953,0.10946064,0.004625792,0.037278246
unknown,14.5,0.0042863246,0.10859614,0.004250286,0.021753617
unknown,4.583333492279053,0.0046687215,0.11050135,0.0055812234,0.045639
unknown,12.916666984558105,0.0041957824,0.10880889,0.0041957824,0.039879527
unknown,5.25,0.0042257663,0.10989617,0.0037789643,0.02320041
unknown,9.5,0.0040615806,0.10928855,0.0037683046,0.020473344
unknown,11.166666984558105,0.0045737494,0.10897267,0.004478588,0.024018873
unknown,9.25,0.0045926496,0.10960345,0.0050102053,0.014443123
unknown,9.0,0.004810363,0.11190564,0.0054139416,0.019286836
unknown,6.916666507720947,0.004701961,0.11030431,0.0051435633,0.03713867
unknown,14.333333015441895,0.0044561564,0.107744485,0.004312594,0.034351557
unknown,13.166666984558105,0.0042021233,0.10753242,0.004832635,0.010057694
unknown,6.0,0.004219563,0.107960746,0.005000102,0.015248841
unknown,6.916666507720947,0.004649887,0.109192826,0.0055919383,0.01752364
unknown,6.083333492279053,0.0044068065,0.10981037,0.004994241,0.025202256
unknown,4.666666507720947,0.0054292595,0.10775562,0.004806609,0.022574585
unknown,9.083333015441895,0.008324636,0.10289854,0.008550383,0.021928282
unknown,6.833333492279053,0.0059569017,0.11007794,0.0054565417,0.022447668
unknown,5.583333492279053,0.0055729956,0.10743258,0.005871442,0.017765034
unknown,8.916666984558105,0.004868191,0.10769809,0.0048232763,0.0315802
unknown,6.583333492279053,0.004456091,0.108406484,0.004493377,0.019845456
unknown,4.666666507720947,0.0046266736,0.11069611,0.005416964,0.008979176
unknown,13.583333015441895,0.004434899,0.11180971,0.005235129,0.018448075
unknown,10.416666984558105,0.005066788,0.10844051,0.0051162103,0.015676564
unknown,7.25,0.004602036,0.10795856,0.0042297863,0.024535712
unknown,4.666666507720947,0.0041490905,0.10944149,0.0037382625,0.017211784
unknown,14.0,0.004646414,0.10970692,0.0047786734,0.02757632
unknown,15.0,0.00394899,0.1091977,0.0035134233,0.029648244
unknown,12.0,0.00401693,0.10840323,0.004308702,0.024972772
unknown,11.166666984558105,0.0040661,0.108176164,0.0040011546,0.024711646
unknown,10.916666984558105,0.004395416,0.10637116,0.004671732,0.040934045
unknown,12.166666984558105,0.0046593794,0.10754188,0.0045524305,0.017301673
unknown,8.0,0.0047926763,0.10871946,0.005221171,0.038871765
unknown,14.833333015441895,0.004164596,0.109257415,0.0045135454,0.031129656
unknown,4.25,0.004756162,0.108332045,0.0055920514,0.038619947
unknown,7.25,0.004723894,0.1093735,0.0054608206,0.0184763
unknown,15.25,0.0040768036,0.10807734,0.0040374883,0.028541273
