trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,lr-AdamW/pg3,_timestamp,epoch,train/loss_step,val/age_loss,val/medae,val/recon_loss,val/loss,val/mae,val/r2,train/recon_loss,train/age_loss,train/loss_epoch,train/mae,train/r2,train/medae,test/mae,test/loss,test/r2,test/recon_loss,test/medae,test/age_loss
209,109,0.0,4.18e-05,4.18e-05,640.081742556,0.0,1778837382.7846017,,,,,,,,,,,,,,,,,,,,
209,110,,,,640.753187601,,1778837383.4562201,3.0,0.06222252547740936,,,,,,,,,,,,,,,,,,
219,111,0.0,4.38e-05,4.38e-05,664.887063264,0.0,1778837407.5899134,,,,,,,,,,,,,,,,,,,,
219,112,0.0,4.38e-05,4.38e-05,665.557253931,0.0,1778837408.2602646,,,,,,,,,,,,,,,,,,,,
219,113,0.0,4.38e-05,4.38e-05,666.227384918,0.0,1778837408.93042,,,,,,,,,,,,,,,,,,,,
219,114,0.0,4.38e-05,4.38e-05,666.898518914,0.0,1778837409.6013799,,,,,,,,,,,,,,,,,,,,
219,115,,,,667.569933383,,1778837410.2727954,3.0,0.07043920457363129,,,,,,,,,,,,,,,,,,
227,116,,,,712.959529958,,1778837455.6624272,3.0,,0.0719103217124939,10.658748626708984,0.0,0.0719103217124939,12.671490669250488,0.6339245438575745,,,,,,,,,,,,
227,117,,,,713.417210046,,1778837456.1200337,3.0,,,,,,,,0.0,0.08235041797161102,0.08235041797161102,14.210661888122559,0.5353267192840576,11.566883087158203,,,,,,
229,118,0.0,4.58e-05,4.58e-05,716.404304739,0.0,1778837459.1069198,,,,,,,,,,,,,,,,,,,,
229,119,0.0,4.58e-05,4.58e-05,717.075846028,0.0,1778837459.7787106,,,,,,,,,,,,,,,,,,,,
229,120,0.0,4.58e-05,4.58e-05,717.747189971,0.0,1778837460.4500082,,,,,,,,,,,,,,,,,,,,
229,121,0.0,4.58e-05,4.58e-05,718.418227502,0.0,1778837461.1211078,,,,,,,,,,,,,,,,,,,,
229,122,,,,719.089866579,,1778837461.7927284,4.0,0.06701421737670898,,,,,,,,,,,,,,,,,,
239,123,0.0,4.78e-05,4.78e-05,743.242354845,0.0,1778837485.9451733,,,,,,,,,,,,,,,,,,,,
239,124,0.0,4.78e-05,4.78e-05,743.913296962,0.0,1778837486.6161644,,,,,,,,,,,,,,,,,,,,
239,125,0.0,4.78e-05,4.78e-05,744.584390187,0.0,1778837487.2872384,,,,,,,,,,,,,,,,,,,,
239,126,0.0,4.78e-05,4.78e-05,745.255331364,0.0,1778837487.9581912,,,,,,,,,,,,,,,,,,,,
239,127,,,,745.927366647,,1778837488.6301472,4.0,0.06157909333705902,,,,,,,,,,,,,,,,,,
249,128,0.0,4.9800000000000004e-05,4.9800000000000004e-05,770.077817965,0.0,1778837512.7806144,,,,,,,,,,,,,,,,,,,,
249,129,0.0,4.9800000000000004e-05,4.9800000000000004e-05,770.748754634,0.0,1778837513.451762,,,,,,,,,,,,,,,,,,,,
249,130,0.0,4.9800000000000004e-05,4.9800000000000004e-05,771.419833107,0.0,1778837514.1227105,,,,,,,,,,,,,,,,,,,,
249,131,0.0,4.9800000000000004e-05,4.9800000000000004e-05,772.091445073,0.0,1778837514.7943091,,,,,,,,,,,,,,,,,,,,
249,132,,,,772.763340926,,1778837515.4662073,4.0,0.07290229946374893,,,,,,,,,,,,,,,,,,
259,133,0.0,5.1800000000000005e-05,5.1800000000000005e-05,796.911271969,0.0,1778837539.614079,,,,,,,,,,,,,,,,,,,,
259,134,0.0,5.1800000000000005e-05,5.1800000000000005e-05,797.582208217,0.0,1778837540.285102,,,,,,,,,,,,,,,,,,,,
259,135,0.0,5.1800000000000005e-05,5.1800000000000005e-05,798.253661925,0.0,1778837540.9565105,,,,,,,,,,,,,,,,,,,,
259,136,0.0,5.1800000000000005e-05,5.1800000000000005e-05,798.924796412,0.0,1778837541.6276782,,,,,,,,,,,,,,,,,,,,
259,137,,,,799.595788835,,1778837542.2987046,4.0,0.06438133120536804,,,,,,,,,,,,,,,,,,
269,138,0.0,5.380000000000001e-05,5.380000000000001e-05,823.744560402,0.0,1778837566.447371,,,,,,,,,,,,,,,,,,,,
269,139,0.0,5.380000000000001e-05,5.380000000000001e-05,824.415509299,0.0,1778837567.1184406,,,,,,,,,,,,,,,,,,,,
269,140,0.0,5.380000000000001e-05,5.380000000000001e-05,825.086749596,0.0,1778837567.7896795,,,,,,,,,,,,,,,,,,,,
269,141,0.0,5.380000000000001e-05,5.380000000000001e-05,825.757861118,0.0,1778837568.460867,,,,,,,,,,,,,,,,,,,,
269,142,,,,826.429331401,,1778837569.1322,4.0,0.07404826581478119,,,,,,,,,,,,,,,,,,
