lr-AdamW/pg4,_runtime,val/recon_loss,epoch,lr-AdamW/pg1,test/recon_loss,val/mae,train/r2,train/loss_step,val/r2,val/medae,train/age_loss,train/loss_epoch,trainer/global_step,train/mae,train/medae,lr-AdamW/pg3,test/age_loss,train/recon_loss,val/age_loss,_timestamp,lr-AdamW/pg2,test/medae,test/r2,test/mae,val/loss,_step,test/loss
0.0,946.985264138,,,5.9800000000000003e-05,,,,,,,,,299,,,0.0,,,,1779874533.1381578,5.9800000000000003e-05,,,,,158,
,947.656083324,,5.0,,,,,0.050532266497612,,,,,299,,,,,,,1779874533.808963,,,,,,159,
0.0,971.777795675,,,6.18e-05,,,,,,,,,309,,,0.0,,,,1779874557.9306262,6.18e-05,,,,,160,
0.0,972.44823986,,,6.18e-05,,,,,,,,,309,,,0.0,,,,1779874558.6010761,6.18e-05,,,,,161,
0.0,973.117577394,,,6.18e-05,,,,,,,,,309,,,0.0,,,,1779874559.2706432,6.18e-05,,,,,162,
0.0,973.788138305,,,6.18e-05,,,,,,,,,309,,,0.0,,,,1779874559.940995,6.18e-05,,,,,163,
,974.459378104,,5.0,,,,,0.035633135586977005,,,,,309,,,,,,,1779874560.6122565,,,,,,164,
0.0,998.587407666,,,6.38e-05,,,,,,,,,319,,,0.0,,,,1779874584.7402298,6.38e-05,,,,,165,
0.0,999.258441749,,,6.38e-05,,,,,,,,,319,,,0.0,,,,1779874585.4112105,6.38e-05,,,,,166,
0.0,999.929088981,,,6.38e-05,,,,,,,,,319,,,0.0,,,,1779874586.0819645,6.38e-05,,,,,167,
0.0,1000.599930334,,,6.38e-05,,,,,,,,,319,,,0.0,,,,1779874586.75278,6.38e-05,,,,,168,
,1001.271078909,,5.0,,,,,0.052732620388269424,,,,,319,,,,,,,1779874587.4239573,,,,,,169,
0.0,1025.403451967,,,6.58e-05,,,,,,,,,329,,,0.0,,,,1779874611.5562892,6.58e-05,,,,,170,
0.0,1026.073853803,,,6.58e-05,,,,,,,,,329,,,0.0,,,,1779874612.226705,6.58e-05,,,,,171,
0.0,1026.743358822,,,6.58e-05,,,,,,,,,329,,,0.0,,,,1779874612.896376,6.58e-05,,,,,172,
0.0,1027.413812986,,,6.58e-05,,,,,,,,,329,,,0.0,,,,1779874613.56671,6.58e-05,,,,,173,
,1028.08474638,,5.0,,,,,0.0478539802134037,,,,,329,,,,,,,1779874614.2375906,,,,,,174,
0.0,1052.199267356,,,6.780000000000001e-05,,,,,,,,,339,,,0.0,,,,1779874638.3520405,6.780000000000001e-05,,,,,175,
0.0,1052.868841291,,,6.780000000000001e-05,,,,,,,,,339,,,0.0,,,,1779874639.0219088,6.780000000000001e-05,,,,,176,
0.0,1053.538035385,,,6.780000000000001e-05,,,,,,,,,339,,,0.0,,,,1779874639.691092,6.780000000000001e-05,,,,,177,
0.0,1054.207169851,,,6.780000000000001e-05,,,,,,,,,339,,,0.0,,,,1779874640.3602188,6.780000000000001e-05,,,,,178,
,1054.876591758,,5.0,,,,,0.05456729978322983,,,,,339,,,,,,,1779874641.0296667,,,,,,179,
,1084.096549253,0.0,5.0,,,8.733932495117188,,,0.7879427671432495,5.881000518798828,,,341,,,,,,0.0456467941403389,1779874670.2492692,,,,,0.0456467941403389,180,
,1084.516576631,,5.0,,,,0.7301433086395264,,,,0.05434130132198334,0.05434130132198334,341,10.001957893371582,6.9375,,,0.0,,1779874670.6694243,,,,,,181,
0.0,1103.551398852,,,6.98e-05,,,,,,,,,349,,,0.0,,,,1779874689.7041469,6.98e-05,,,,,182,
0.0,1104.222122387,,,6.98e-05,,,,,,,,,349,,,0.0,,,,1779874690.3749185,6.98e-05,,,,,183,
0.0,1104.892184539,,,6.98e-05,,,,,,,,,349,,,0.0,,,,1779874691.0451527,6.98e-05,,,,,184,
0.0,1105.562750327,,,6.98e-05,,,,,,,,,349,,,0.0,,,,1779874691.7155874,6.98e-05,,,,,185,
,1106.233934814,,6.0,,,,,0.05259152501821518,,,,,349,,,,,,,1779874692.3867762,,,,,,186,
0.0,1130.357207306,,,7.18e-05,,,,,,,,,359,,,0.0,,,,1779874716.5099673,7.18e-05,,,,,187,
0.0,1131.027521698,,,7.18e-05,,,,,,,,,359,,,0.0,,,,1779874717.1803513,7.18e-05,,,,,188,
0.0,1131.697452866,,,7.18e-05,,,,,,,,,359,,,0.0,,,,1779874717.850475,7.18e-05,,,,,189,
0.0,1132.367980769,,,7.18e-05,,,,,,,,,359,,,0.0,,,,1779874718.5208392,7.18e-05,,,,,190,
,1133.039251367,,6.0,,,,,0.04550575837492943,,,,,359,,,,,,,1779874719.192057,,,,,,191,
0.0,1157.167413913,,,7.38e-05,,,,,,,,,369,,,0.0,,,,1779874743.3201318,7.38e-05,,,,,192,
0.0,1157.837848969,,,7.38e-05,,,,,,,,,369,,,0.0,,,,1779874743.9906888,7.38e-05,,,,,193,
0.0,1158.507775331,,,7.38e-05,,,,,,,,,369,,,0.0,,,,1779874744.6607544,7.38e-05,,,,,194,
0.0,1159.178546231,,,7.38e-05,,,,,,,,,369,,,0.0,,,,1779874745.3313937,7.38e-05,,,,,195,
,1159.849621638,,6.0,,,,,0.05309969186782837,,,,,369,,,,,,,1779874746.002457,,,,,,196,
0.0,1183.975998537,,,7.58e-05,,,,,,,,,379,,,0.0,,,,1779874770.1287925,7.58e-05,,,,,197,
0.0,1184.646562268,,,7.58e-05,,,,,,,,,379,,,0.0,,,,1779874770.7993891,7.58e-05,,,,,198,
0.0,1185.316599919,,,7.58e-05,,,,,,,,,379,,,0.0,,,,1779874771.4695885,7.58e-05,,,,,199,
0.0,1185.987121257,,,7.58e-05,,,,,,,,,379,,,0.0,,,,1779874772.139983,7.58e-05,,,,,200,
,1186.658300231,,6.0,,,,,0.04212818667292595,,,,,379,,,,,,,1779874772.8111286,,,,,,201,
0.0,1210.787995925,,,7.780000000000001e-05,,,,,,,,,389,,,0.0,,,,1779874796.9407206,7.780000000000001e-05,,,,,202,
0.0,1211.458611135,,,7.780000000000001e-05,,,,,,,,,389,,,0.0,,,,1779874797.6114397,7.780000000000001e-05,,,,,203,
0.0,1212.128538913,,,7.780000000000001e-05,,,,,,,,,389,,,0.0,,,,1779874798.2815466,7.780000000000001e-05,,,,,204,
0.0,1212.799157249,,,7.780000000000001e-05,,,,,,,,,389,,,0.0,,,,1779874798.9519827,7.780000000000001e-05,,,,,205,
,1213.470300692,,6.0,,,,,0.06610449403524399,,,,,389,,,,,,,1779874799.6231117,,,,,,206,
,1261.468174164,0.0,6.0,,,8.28594970703125,,,0.7988776564598083,5.4375,,,398,,,,,,0.043198730796575546,1779874847.620942,,,,,0.043198730796575546,207,
,1261.860248548,,6.0,,,,0.7443090677261353,,,,0.05276070535182953,0.05276070535182953,398,9.766000747680664,6.8125,,,0.0,,1779874848.0130532,,,,,,208,
0.0,1262.134458616,,,7.98e-05,,,,,,,,,399,,,0.0,,,,1779874848.2863004,7.98e-05,,,,,209,
