trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,lr-AdamW/pg3,_timestamp,epoch,train/loss_step,val/age_loss,val/medae,val/recon_loss,val/loss,val/mae,val/r2,train/recon_loss,train/age_loss,train/loss_epoch,train/mae,train/r2,train/medae
119,59,4.76e-06,2.38e-05,2.38e-05,1163.19367615,4.76e-06,1780655700.3949683,,,,,,,,,,,,,,
119,60,4.76e-06,2.38e-05,2.38e-05,1165.498199754,4.76e-06,1780655702.6993659,,,,,,,,,,,,,,
119,61,4.76e-06,2.38e-05,2.38e-05,1167.801272194,4.76e-06,1780655705.0024383,,,,,,,,,,,,,,
119,62,4.76e-06,2.38e-05,2.38e-05,1170.10385679,4.76e-06,1780655707.305071,,,,,,,,,,,,,,
119,63,,,,1172.411193915,,1780655709.6124241,2.0,0.122698113322258,,,,,,,,,,,,
129,64,5.1600000000000006e-06,2.58e-05,2.58e-05,1255.310365594,5.1600000000000006e-06,1780655792.5115032,,,,,,,,,,,,,,
129,65,5.1600000000000006e-06,2.58e-05,2.58e-05,1257.613667776,5.1600000000000006e-06,1780655794.8148344,,,,,,,,,,,,,,
129,66,5.1600000000000006e-06,2.58e-05,2.58e-05,1259.915317532,5.1600000000000006e-06,1780655797.1165047,,,,,,,,,,,,,,
129,67,5.1600000000000006e-06,2.58e-05,2.58e-05,1262.217467159,5.1600000000000006e-06,1780655799.418669,,,,,,,,,,,,,,
129,68,,,,1264.518683112,,1780655801.719951,2.0,0.14430341124534607,,,,,,,,,,,,
139,69,5.560000000000001e-06,2.7800000000000005e-05,2.7800000000000005e-05,1347.41714162,5.560000000000001e-06,1780655884.618301,,,,,,,,,,,,,,
139,70,5.560000000000001e-06,2.7800000000000005e-05,2.7800000000000005e-05,1349.719213756,5.560000000000001e-06,1780655886.9203782,,,,,,,,,,,,,,
139,71,5.560000000000001e-06,2.7800000000000005e-05,2.7800000000000005e-05,1352.022571207,5.560000000000001e-06,1780655889.2237477,,,,,,,,,,,,,,
139,72,5.560000000000001e-06,2.7800000000000005e-05,2.7800000000000005e-05,1354.328123009,5.560000000000001e-06,1780655891.5294254,,,,,,,,,,,,,,
