trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,lr-AdamW/pg3,_timestamp,epoch,train/loss_step,val/age_loss,val/medae,val/recon_loss,val/loss,val/mae,val/r2,train/recon_loss,train/age_loss,train/loss_epoch,train/mae,train/r2,train/medae,test/mae,test/loss,test/r2,test/recon_loss,test/medae,test/age_loss
249,129,0.0,9.992595288112046e-05,9.992595288112046e-05,789.775725662,0.0,1778601585.4463615,,,,,,,,,,,,,,,,,,,,
249,130,0.0,9.992595288112046e-05,9.992595288112046e-05,790.446295726,0.0,1778601586.1168625,,,,,,,,,,,,,,,,,,,,
249,131,0.0,9.992595288112046e-05,9.992595288112046e-05,791.116199608,0.0,1778601586.786779,,,,,,,,,,,,,,,,,,,,
249,132,,,,791.786762751,,1778601587.4573753,4.0,0.2697327136993408,,,,,,,,,,,,,,,,,,
259,133,0.0,9.991568302811227e-05,9.991568302811227e-05,815.89909992,0.0,1778601611.5696626,,,,,,,,,,,,,,,,,,,,
259,134,0.0,9.991568302811227e-05,9.991568302811227e-05,816.56945577,0.0,1778601612.2400548,,,,,,,,,,,,,,,,,,,,
259,135,0.0,9.991568302811227e-05,9.991568302811227e-05,817.239587573,0.0,1778601612.9101202,,,,,,,,,,,,,,,,,,,,
259,136,0.0,9.991568302811227e-05,9.991568302811227e-05,817.909636341,0.0,1778601613.5802033,,,,,,,,,,,,,,,,,,,,
259,137,,,,818.580356698,,1778601614.2509434,4.0,0.25108468532562256,,,,,,,,,,,,,,,,,,
269,138,0.0,9.990474707518917e-05,9.990474707518917e-05,842.696872443,0.0,1778601638.3673823,,,,,,,,,,,,,,,,,,,,
269,139,0.0,9.990474707518917e-05,9.990474707518917e-05,843.367208651,0.0,1778601639.0379088,,,,,,,,,,,,,,,,,,,,
269,140,0.0,9.990474707518917e-05,9.990474707518917e-05,844.037334763,0.0,1778601639.7079217,,,,,,,,,,,,,,,,,,,,
269,141,0.0,9.990474707518917e-05,9.990474707518917e-05,844.707271801,0.0,1778601640.3778813,,,,,,,,,,,,,,,,,,,,
269,142,,,,845.378037295,,1778601641.0486205,4.0,0.1755473017692566,,,,,,,,,,,,,,,,,,
279,143,0.0,9.989314516828604e-05,9.989314516828604e-05,869.493089631,0.0,1778601665.163658,,,,,,,,,,,,,,,,,,,,
279,144,0.0,9.989314516828604e-05,9.989314516828604e-05,870.163468442,0.0,1778601665.834134,,,,,,,,,,,,,,,,,,,,
279,145,0.0,9.989314516828604e-05,9.989314516828604e-05,870.833682345,0.0,1778601666.504266,,,,,,,,,,,,,,,,,,,,
279,146,0.0,9.989314516828604e-05,9.989314516828604e-05,871.503668445,0.0,1778601667.174307,,,,,,,,,,,,,,,,,,,,
279,147,,,,872.174461698,,1778601667.8450756,4.0,0.16657447814941406,,,,,,,,,,,,,,,,,,
289,148,0.0,9.988087746222452e-05,9.988087746222452e-05,896.290352689,0.0,1778601691.960915,,,,,,,,,,,,,,,,,,,,
289,149,0.0,9.988087746222452e-05,9.988087746222452e-05,896.960682584,0.0,1778601692.631312,,,,,,,,,,,,,,,,,,,,
289,150,0.0,9.988087746222452e-05,9.988087746222452e-05,897.630679328,0.0,1778601693.3012464,,,,,,,,,,,,,,,,,,,,
289,151,0.0,9.988087746222452e-05,9.988087746222452e-05,898.300569021,0.0,1778601693.9711378,,,,,,,,,,,,,,,,,,,,
289,152,,,,898.971509925,,1778601694.6421077,4.0,0.2424032837152481,,,,,,,,,,,,,,,,,,
294,153,,,,935.684626927,,1778601731.3552794,4.0,,0.25175750255584717,7.5625,0.0,0.25175750255584717,10.042732238769531,0.7479829788208008,,,,,,,,,,,,
294,154,,,,935.909072395,,1778601731.5796394,4.0,,,,,,,,0.0,0.27489373087882996,0.27489373087882996,10.489784240722656,0.7251105904579163,7.703125,,,,,,
299,155,0.0,9.986794412071105e-05,9.986794412071105e-05,946.923684649,0.0,1778601742.5942159,,,,,,,,,,,,,,,,,,,,
299,156,0.0,9.986794412071105e-05,9.986794412071105e-05,947.594008922,0.0,1778601743.2646284,,,,,,,,,,,,,,,,,,,,
299,157,0.0,9.986794412071105e-05,9.986794412071105e-05,948.264061016,0.0,1778601743.9348292,,,,,,,,,,,,,,,,,,,,
299,158,0.0,9.986794412071105e-05,9.986794412071105e-05,948.934643197,0.0,1778601744.6052225,,,,,,,,,,,,,,,,,,,,
299,159,,,,949.604907911,,1778601745.2755432,5.0,0.2882881760597229,,,,,,,,,,,,,,,,,,
309,160,0.0,9.985434531633462e-05,9.985434531633462e-05,973.709928574,0.0,1778601769.3804843,,,,,,,,,,,,,,,,,,,,
309,161,0.0,9.985434531633462e-05,9.985434531633462e-05,974.380081588,0.0,1778601770.050694,,,,,,,,,,,,,,,,,,,,
309,162,0.0,9.985434531633462e-05,9.985434531633462e-05,975.050269915,0.0,1778601770.7209237,,,,,,,,,,,,,,,,,,,,
309,163,0.0,9.985434531633462e-05,9.985434531633462e-05,975.720361737,0.0,1778601771.390985,,,,,,,,,,,,,,,,,,,,
309,164,,,,976.391077266,,1778601772.0617075,5.0,0.4141523838043213,,,,,,,,,,,,,,,,,,
319,165,0.0,9.98400812305645e-05,9.98400812305645e-05,1000.488158516,0.0,1778601796.1587107,,,,,,,,,,,,,,,,,,,,
319,166,0.0,9.98400812305645e-05,9.98400812305645e-05,1001.158221784,0.0,1778601796.8288057,,,,,,,,,,,,,,,,,,,,
319,167,0.0,9.98400812305645e-05,9.98400812305645e-05,1001.829060146,0.0,1778601797.4996107,,,,,,,,,,,,,,,,,,,,
319,168,0.0,9.98400812305645e-05,9.98400812305645e-05,1002.499718398,0.0,1778601798.1702936,,,,,,,,,,,,,,,,,,,,
319,169,,,,1003.169843939,,1778601798.8405929,5.0,0.18733720481395721,,,,,,,,,,,,,,,,,,
329,170,0.0,9.982515205374778e-05,9.982515205374778e-05,1027.270582183,0.0,1778601822.941123,,,,,,,,,,,,,,,,,,,,
329,171,0.0,9.982515205374778e-05,9.982515205374778e-05,1027.940913051,0.0,1778601823.6114962,,,,,,,,,,,,,,,,,,,,
329,172,0.0,9.982515205374778e-05,9.982515205374778e-05,1028.611235826,0.0,1778601824.281804,,,,,,,,,,,,,,,,,,,,
329,173,0.0,9.982515205374778e-05,9.982515205374778e-05,1029.281120823,0.0,1778601824.9517655,,,,,,,,,,,,,,,,,,,,
329,174,,,,1029.951486613,,1778601825.6220756,5.0,0.16286247968673706,,,,,,,,,,,,,,,,,,
339,175,0.0,9.980955798510694e-05,9.980955798510694e-05,1054.055658166,0.0,1778601849.726204,,,,,,,,,,,,,,,,,,,,
339,176,0.0,9.980955798510694e-05,9.980955798510694e-05,1054.726099889,0.0,1778601850.3966453,,,,,,,,,,,,,,,,,,,,
339,177,0.0,9.980955798510694e-05,9.980955798510694e-05,1055.396315972,0.0,1778601851.0669181,,,,,,,,,,,,,,,,,,,,
339,178,0.0,9.980955798510694e-05,9.980955798510694e-05,1056.067127841,0.0,1778601851.7377675,,,,,,,,,,,,,,,,,,,,
339,179,,,,1056.737454621,,1778601852.4080796,5.0,0.4506283402442932,,,,,,,,,,,,,,,,,,
349,180,0.0,9.9793299232737e-05,9.9793299232737e-05,1080.843350132,0.0,1778601876.5139475,,,,,,,,,,,,,,,,,,,,
349,181,0.0,9.9793299232737e-05,9.9793299232737e-05,1081.513920546,0.0,1778601877.1844928,,,,,,,,,,,,,,,,,,,,
349,182,0.0,9.9793299232737e-05,9.9793299232737e-05,1082.184115706,0.0,1778601877.8547027,,,,,,,,,,,,,,,,,,,,
349,183,0.0,9.9793299232737e-05,9.9793299232737e-05,1082.852909279,0.0,1778601878.5236855,,,,,,,,,,,,,,,,,,,,
349,184,,,,1083.521890804,,1778601879.1926916,5.0,0.26840686798095703,,,,,,,,,,,,,,,,,,
353,185,,,,1117.602728747,,1778601913.2733927,5.0,,0.22064314782619476,6.8828125,0.0,0.22064314782619476,9.298230171203613,0.7791341543197632,,,,,,,,,,,,
353,186,,,,1117.80252038,,1778601913.4730744,5.0,,,,,,,,0.0,0.2471460998058319,0.2471460998058319,9.857497215270996,0.7528502941131592,7.25,,,,,,
359,187,0.0,9.977637601360295e-05,9.977637601360295e-05,1131.507946849,0.0,1778601927.1785092,,,,,,,,,,,,,,,,,,,,
359,188,0.0,9.977637601360295e-05,9.977637601360295e-05,1132.178220273,0.0,1778601927.848798,,,,,,,,,,,,,,,,,,,,
359,189,0.0,9.977637601360295e-05,9.977637601360295e-05,1132.849195844,0.0,1778601928.5197623,,,,,,,,,,,,,,,,,,,,
359,190,0.0,9.977637601360295e-05,9.977637601360295e-05,1133.519121585,0.0,1778601929.1898458,,,,,,,,,,,,,,,,,,,,
359,191,,,,1134.189768391,,1778601929.8603778,6.0,0.29227104783058167,,,,,,,,,,,,,,,,,,
369,192,0.0,9.975878855353668e-05,9.975878855353668e-05,1158.304684794,0.0,1778601953.9754019,,,,,,,,,,,,,,,,,,,,
369,193,0.0,9.975878855353668e-05,9.975878855353668e-05,1158.974930845,0.0,1778601954.645534,,,,,,,,,,,,,,,,,,,,
369,194,0.0,9.975878855353668e-05,9.975878855353668e-05,1159.645297879,0.0,1778601955.3158994,,,,,,,,,,,,,,,,,,,,
369,195,0.0,9.975878855353668e-05,9.975878855353668e-05,1160.315286603,0.0,1778601955.9859138,,,,,,,,,,,,,,,,,,,,
369,196,,,,1160.987594135,,1778601956.6579397,6.0,0.40362244844436646,,,,,,,,,,,,,,,,,,
379,197,0.0,9.974053708723409e-05,9.974053708723409e-05,1185.127005097,0.0,1778601980.7976375,,,,,,,,,,,,,,,,,,,,
379,198,0.0,9.974053708723409e-05,9.974053708723409e-05,1185.797908996,0.0,1778601981.4685097,,,,,,,,,,,,,,,,,,,,
379,199,0.0,9.974053708723409e-05,9.974053708723409e-05,1186.468932374,0.0,1778601982.1395066,,,,,,,,,,,,,,,,,,,,
