epoch,validation/loss,validation/cpg_sites_accuracy,train/cpg_sites_cross_entropy_loss_epoch,train/cpg_sites_perplexity_step,lr-AdamW/pg2,train/cpg_sites_accuracy_epoch,_timestamp,validation/cpg_sites_perplexity,_runtime,validation/cpg_sites_cross_entropy_loss,_step,train/cpg_sites_cross_entropy_loss_step,train/cpg_sites_perplexity_epoch,train/cpg_sites_accuracy_step,lr-AdamW/pg1,trainer/global_step,train/loss_epoch,train/loss_step
,,,,,3.975e-06,,1769777272.5407143,,581.794061114,,79,,,,3.975e-06,159,,
,,,,,3.975e-06,,1769777273.4025462,,582.655884729,,80,,,,3.975e-06,159,,
1.0,,,,8460.69140625,,,1769777274.266097,,583.519583933,,81,9.04318618774414,,0.00011718749738065526,,159,,9.04318618774414
,,,,,4.225e-06,,1769777305.2815163,,614.534887449,,82,,,,4.225e-06,169,,
,,,,,4.225e-06,,1769777306.143348,,615.396823291,,83,,,,4.225e-06,169,,
,,,,,4.225e-06,,1769777307.0054874,,616.258841308,,84,,,,4.225e-06,169,,
,,,,,4.225e-06,,1769777307.8673255,,617.120636209,,85,,,,4.225e-06,169,,
1.0,,,,8419.0302734375,,,1769777308.7293015,,617.98261058,,86,9.038249969482422,,0.00019454496214166284,,169,,9.038249969482422
1.0,9.033076286315918,0.00019020434410776943,,,,,1769777336.12487,8375.6083984375,645.378008359,9.033076286315918,87,,,,,171,,
1.0,,,9.055538177490234,,,0.0001299382420256734,1769777341.0159323,,650.269239494,,88,,8566.2607421875,,,171,9.055538177490234,
,,,,,4.475e-06,,1769777366.168453,,675.421942671,,89,,,,4.475e-06,179,,
,,,,,4.475e-06,,1769777367.0290995,,676.282364805,,90,,,,4.475e-06,179,,
,,,,,4.475e-06,,1769777367.8905137,,677.14393183,,91,,,,4.475e-06,179,,
,,,,,4.475e-06,,1769777368.7524679,,678.005817383,,92,,,,4.475e-06,179,,
2.0,,,,8392.712890625,,,1769777369.6141632,,678.867496656,,93,9.03511905670166,,0.00011679514136631042,,179,,9.03511905670166
,,,,,4.7250000000000005e-06,,1769777407.3504436,,716.603924813,,94,,,,4.7250000000000005e-06,189,,
,,,,,4.7250000000000005e-06,,1769777408.210708,,717.463949831,,95,,,,4.7250000000000005e-06,189,,
,,,,,4.7250000000000005e-06,,1769777409.071911,,718.325299189,,96,,,,4.7250000000000005e-06,189,,
,,,,,4.7250000000000005e-06,,1769777409.9337041,,719.187106525,,97,,,,4.7250000000000005e-06,189,,
2.0,,,,8328.369140625,,,1769777410.7954032,,720.048643305,,98,9.027422904968262,,0.00023421032528858632,,189,,9.027422904968262
,,,,,4.975000000000001e-06,,1769777441.787255,,751.040689621,,99,,,,4.975000000000001e-06,199,,
,,,,,4.975000000000001e-06,,1769777442.6472886,,751.900528959,,100,,,,4.975000000000001e-06,199,,
,,,,,4.975000000000001e-06,,1769777443.5087473,,752.762128832,,101,,,,4.975000000000001e-06,199,,
,,,,,4.975000000000001e-06,,1769777444.3704555,,753.623829847,,102,,,,4.975000000000001e-06,199,,
2.0,,,,8322.4853515625,,,1769777445.2322814,,754.485547588,,103,9.026716232299805,,3.9054870285326615e-05,,199,,9.026716232299805
,,,,,5.225e-06,,1769777476.2268312,,785.480356769,,104,,,,5.225e-06,209,,
,,,,,5.225e-06,,1769777477.0871627,,786.340429136,,105,,,,5.225e-06,209,,
,,,,,5.225e-06,,1769777477.9483187,,787.201692823,,106,,,,5.225e-06,209,,
,,,,,5.225e-06,,1769777478.8100455,,788.063411683,,107,,,,5.225e-06,209,,
2.0,,,,8297.4501953125,,,1769777479.6717129,,788.924976353,,108,9.023703575134277,,0.00011769783304771408,,209,,9.023703575134277
,,,,,5.475e-06,,1769777510.666189,,819.919617452,,109,,,,5.475e-06,219,,
,,,,,5.475e-06,,1769777511.5267818,,820.779999703,,110,,,,5.475e-06,219,,
,,,,,5.475e-06,,1769777512.3882563,,821.641675648,,111,,,,5.475e-06,219,,
,,,,,5.475e-06,,1769777513.2497976,,822.503191733,,112,,,,5.475e-06,219,,
2.0,,,,8252.9326171875,,,1769777514.11157,,823.364795059,,113,9.01832389831543,,0.0001964559342013672,,219,,9.01832389831543
,,,,,5.725e-06,,1769777545.1076717,,854.361101399,,114,,,,5.725e-06,229,,
,,,,,5.725e-06,,1769777545.9679978,,855.221274264,,115,,,,5.725e-06,229,,
,,,,,5.725e-06,,1769777546.8296142,,856.083073102,,116,,,,5.725e-06,229,,
,,,,,5.725e-06,,1769777547.6915867,,856.94497134,,117,,,,5.725e-06,229,,
2.0,,,,8222.6083984375,,,1769777548.5531504,,857.806431339,,118,9.014642715454102,,0.00019535065803211182,,229,,9.014642715454102
,,,,,5.975e-06,,1769777579.5489748,,888.802422713,,119,,,,5.975e-06,239,,
,,,,,5.975e-06,,1769777580.4097838,,889.663062407,,120,,,,5.975e-06,239,,
,,,,,5.975e-06,,1769777581.271754,,890.525192922,,121,,,,5.975e-06,239,,
,,,,,5.975e-06,,1769777582.1335058,,891.38689286,,122,,,,5.975e-06,239,,
2.0,,,,8158.3544921875,,,1769777582.9953737,,892.248625538,,123,9.006797790527344,,0.00027220408082939684,,239,,9.006797790527344
,,,,,6.2250000000000005e-06,,1769777613.9925685,,923.245968556,,124,,,,6.2250000000000005e-06,249,,
,,,,,6.2250000000000005e-06,,1769777614.853712,,924.106953567,,125,,,,6.2250000000000005e-06,249,,
,,,,,6.2250000000000005e-06,,1769777615.7156353,,924.969012643,,126,,,,6.2250000000000005e-06,249,,
,,,,,6.2250000000000005e-06,,1769777616.5773003,,925.830633321,,127,,,,6.2250000000000005e-06,249,,
2.0,,,,8142.3427734375,,,1769777617.4390948,,926.692353678,,128,9.004833221435547,,0.00023395461903419346,,249,,9.004833221435547
2.0,8.993542671203613,0.000312445976305753,,,,,1769777665.3494277,8050.94384765625,974.602618145,8.993542671203613,129,,,,,257,,
2.0,,,9.019243240356445,,,0.00014555362577084452,1769777668.7482169,,978.001701356,,130,,8261.05078125,,,257,9.019243240356445,
,,,,,6.475000000000001e-06,,1769777673.229304,,982.482801408,,131,,,,6.475000000000001e-06,259,,
,,,,,6.475000000000001e-06,,1769777674.0909588,,983.344332244,,132,,,,6.475000000000001e-06,259,,
,,,,,6.475000000000001e-06,,1769777674.9511552,,984.204370838,,133,,,,6.475000000000001e-06,259,,
,,,,,6.475000000000001e-06,,1769777675.8125331,,985.065929697,,134,,,,6.475000000000001e-06,259,,
3.0,,,,8102.3193359375,,,1769777676.6755364,,985.928934479,,135,8.999905586242676,,0.00019537354819476604,,259,,8.999905586242676
,,,,,6.725000000000001e-06,,1769777707.665529,,1016.918955849,,136,,,,6.725000000000001e-06,269,,
,,,,,6.725000000000001e-06,,1769777708.5260367,,1017.779293631,,137,,,,6.725000000000001e-06,269,,
,,,,,6.725000000000001e-06,,1769777709.3863363,,1018.639512134,,138,,,,6.725000000000001e-06,269,,
,,,,,6.725000000000001e-06,,1769777710.2480614,,1019.501404532,,139,,,,6.725000000000001e-06,269,,
3.0,,,,8063.1298828125,,,1769777711.1109297,,1020.364193598,,140,8.995057106018066,,0.0003518924058880657,,269,,8.995057106018066
,,,,,6.975000000000001e-06,,1769777742.1160576,,1051.369435091,,141,,,,6.975000000000001e-06,279,,
,,,,,6.975000000000001e-06,,1769777742.9778852,,1052.231261548,,142,,,,6.975000000000001e-06,279,,
,,,,,6.975000000000001e-06,,1769777743.8396583,,1053.093036988,,143,,,,6.975000000000001e-06,279,,
,,,,,6.975000000000001e-06,,1769777744.701596,,1053.95498603,,144,,,,6.975000000000001e-06,279,,
3.0,,,,8042.40283203125,,,1769777745.5636108,,1054.816842362,,145,8.992483139038086,,0.00031378702260553837,,279,,8.992483139038086
,,,,,7.2249999999999994e-06,,1769777776.5737264,,1085.827090249,,146,,,,7.2249999999999994e-06,289,,
,,,,,7.2249999999999994e-06,,1769777777.4359357,,1086.689309795,,147,,,,7.2249999999999994e-06,289,,
,,,,,7.2249999999999994e-06,,1769777778.298459,,1087.551838415,,148,,,,7.2249999999999994e-06,289,,
,,,,,7.2249999999999994e-06,,1769777779.1607227,,1088.414112904,,149,,,,7.2249999999999994e-06,289,,
3.0,,,,8001.70263671875,,,1769777780.0225058,,1089.275736234,,150,8.987409591674805,,0.00023362666252069175,,289,,8.987409591674805
,,,,,7.4750000000000004e-06,,1769777811.0328388,,1120.286259405,,151,,,,7.4750000000000004e-06,299,,
,,,,,7.4750000000000004e-06,,1769777811.894364,,1121.14772809,,152,,,,7.4750000000000004e-06,299,,
,,,,,7.4750000000000004e-06,,1769777812.7567918,,1122.010160654,,153,,,,7.4750000000000004e-06,299,,
,,,,,7.4750000000000004e-06,,1769777813.6194,,1122.872802943,,154,,,,7.4750000000000004e-06,299,,
3.0,,,,7939.65234375,,,1769777814.4811013,,1123.7343587,,155,8.97962474822998,,0.00042928504990413785,,299,,8.97962474822998
,,,,,7.725e-06,,1769777845.4951243,,1154.74853143,,156,,,,7.725e-06,309,,
,,,,,7.725e-06,,1769777846.356712,,1155.610072322,,157,,,,7.725e-06,309,,
,,,,,7.725e-06,,1769777847.2189057,,1156.472350752,,158,,,,7.725e-06,309,,
,,,,,7.725e-06,,1769777848.080781,,1157.334196573,,159,,,,7.725e-06,309,,
3.0,,,,7913.24072265625,,,1769777848.9424005,,1158.195631346,,160,8.976292610168457,,0.0005784581881016493,,309,,8.976292610168457
,,,,,7.975e-06,,1769777879.9547517,,1189.208154484,,161,,,,7.975e-06,319,,
,,,,,7.975e-06,,1769777880.8167481,,1190.070096176,,162,,,,7.975e-06,319,,
,,,,,7.975e-06,,1769777881.6789267,,1190.932391389,,163,,,,7.975e-06,319,,
,,,,,7.975e-06,,1769777882.5404408,,1191.793840521,,164,,,,7.975e-06,319,,
3.0,,,,7878.076171875,,,1769777883.4026303,,1192.655835594,,165,8.97183895111084,,0.0004663091676775366,,319,,8.97183895111084
,,,,,8.225e-06,,1769777914.418633,,1223.672016671,,166,,,,8.225e-06,329,,
,,,,,8.225e-06,,1769777915.280884,,1224.534293715,,167,,,,8.225e-06,329,,
,,,,,8.225e-06,,1769777916.1426353,,1225.39596638,,168,,,,8.225e-06,329,,
,,,,,8.225e-06,,1769777917.0050642,,1226.258442193,,169,,,,8.225e-06,329,,
3.0,,,,7832.28173828125,,,1769777917.8670316,,1227.120284965,,170,8.966009140014648,,0.000552137556951493,,329,,8.966009140014648
,,,,,8.475000000000001e-06,,1769777948.8837216,,1258.137168497,,171,,,,8.475000000000001e-06,339,,
,,,,,8.475000000000001e-06,,1769777949.7457268,,1258.999093039,,172,,,,8.475000000000001e-06,339,,
,,,,,8.475000000000001e-06,,1769777950.6077626,,1259.861122899,,173,,,,8.475000000000001e-06,339,,
,,,,,8.475000000000001e-06,,1769777951.470332,,1260.723641344,,174,,,,8.475000000000001e-06,339,,
3.0,,,,7794.369140625,,,1769777952.332344,,1261.585592666,,175,8.961156845092773,,0.0010523033561185002,,339,,8.961156845092773
3.0,8.953139305114746,0.001357429544441402,,,,,1769777986.4387438,7732.140625,1295.692005915,8.953139305114746,176,,,,,343,,
3.0,,,8.980597496032715,,,0.00021303031826391816,1769777989.772313,,1299.025742799,,177,,7947.88623046875,,,343,8.980597496032715,
,,,,,8.725e-06,,1769778008.0385523,,1317.292023627,,178,,,,8.725e-06,349,,
,,,,,8.725e-06,,1769778008.8996243,,1318.153029812,,179,,,,8.725e-06,349,,
,,,,,8.725e-06,,1769778009.7601688,,1319.013397147,,180,,,,8.725e-06,349,,
,,,,,8.725e-06,,1769778010.6215985,,1319.874963915,,181,,,,8.725e-06,349,,
4.0,,,,7743.2109375,,,1769778011.4848993,,1320.738296005,,182,8.954571723937988,,0.0016433211276307702,,349,,8.954571723937988
,,,,,8.975e-06,,1769778042.4741554,,1351.727493706,,183,,,,8.975e-06,359,,
,,,,,8.975e-06,,1769778043.3357008,,1352.589069755,,184,,,,8.975e-06,359,,
,,,,,8.975e-06,,1769778044.197425,,1353.450800957,,185,,,,8.975e-06,359,,
,,,,,8.975e-06,,1769778045.0593076,,1354.312619951,,186,,,,8.975e-06,359,,
4.0,,,,7736.1103515625,,,1769778045.9209406,,1355.174139636,,187,8.953654289245605,,0.0014179927529767156,,359,,8.953654289245605
,,,,,9.225e-06,,1769778076.9257753,,1386.179131952,,188,,,,9.225e-06,369,,
,,,,,9.225e-06,,1769778077.7880726,,1387.041474189,,189,,,,9.225e-06,369,,
,,,,,9.225e-06,,1769778078.6503637,,1387.90379188,,190,,,,9.225e-06,369,,
